"Part Number","APQP","Supplier","Use case","Contracted","Requested","Measured","CAT","GOR"
"9874671580","N/A","N/A","N/A","2145","3511.704536871979","0","","R"
"9874708080","N/A","N/A","N/A","2145","3511.704536871979","0","","R"
"9874737380","N/A","N/A","N/A","660","2143.6713013444382","0","","R"
"9874745080","N/A","N/A","N/A","2145","3511.704536871979","0","","R"
"9875712480","N/A","N/A","N/A","45","255.25530089770584","0","","R"
"9875712880","N/A","N/A","N/A","45","1952.6916372900776","0","","R"
"9875713280","N/A","N/A","N/A","255","2143.6713013444382","0","","R"
"P039043640","N/A","Valeo PowerThermal","N/A","100","1706","0","","R"
"P047479521_B","N/A","Valeo PowerThermal","N/A","320","1536","0","","R"
"P047479521_D","N/A","Valeo PowerThermal","N/A","320","1536","0","","R"
"P048322130_B","N/A","Valeo PowerThermal","N/A","20","302","0","","R"
"P055415282","N/A","N/A","N/A","45","2055.5052362014444","0","","R"
"P055436385","N/A","N/A","N/A","45","2055.5052362014444","0","","R"
"9874707280","N/A","N/A","N/A","2070","2143.6713013444382","0","","O"
"9874709680","N/A","N/A","N/A","2070","2143.6713013444382","0","","O"
"9875712180","N/A","N/A","N/A","1965","2143.6713013444382","0","","O"
"P029953444","N/A","Valeo PowerThermal","N/A","1710","1782","0","","O"
"P047479521_A","N/A","Valeo PowerThermal","N/A","1540","1782","0","","O"
"2000071840","N/A","Mehta Enterprises","N/A","5000","2274","0","","G"
"46360998","N/A","N/A","N/A","7000","6507.698202815731","0","","G"
"9805901780","N/A","SFC","N/A","0","2365","0","",""
"9831521480","N/A","YAZAKI","N/A","0","433","0","",""
"9844817780","N/A","YAZAKI","N/A","0","2420","0","",""
"9864771380","N/A","N/A","N/A","1442","1442","0","","G"
"9864771580","N/A","N/A","N/A","1442","1442","0","","G"
"9866441980","N/A","Bevone","N/A","7910","964","0","","G"
"9866442580","N/A","Bevone","N/A","0","964","0","",""
"9866442980","N/A","Bevone","N/A","0","964","0","",""
"9866443180","N/A","Bevone","N/A","0","964","0","",""
"9873910180","N/A","N/A","N/A","1442","1442","0","","G"
"9874617580","N/A","Bevone","N/A","0","964","0","",""
"9874617680","N/A","Bevone","N/A","0","964","0","",""
"9874670480","N/A","N/A","N/A","3525","3511.704536871979","0","","G"
"9874672680","N/A","N/A","N/A","3525","3511.704536871979","0","","G"
"9874706980","N/A","N/A","N/A","3525","3511.704536871979","0","","G"
"9874707480","N/A","N/A","N/A","3525","3511.704536871979","0","","G"
"9874707880","N/A","N/A","N/A","3525","3511.704536871979","0","","G"
"9874708280","N/A","N/A","N/A","660","651.5089151009647","0","","G"
"9874708780","N/A","N/A","N/A","2145","651.5089151009647","0","","G"
"9874709480","N/A","N/A","N/A","3525","2143.6713013444382","0","","G"
"9875711980","N/A","N/A","N/A","2145","2143.6713013444382","0","","G"
"9875712680","N/A","N/A","N/A","3525","38.28829513465587","0","","G"
"9875713080","N/A","N/A","N/A","2145","38.28829513465587","0","","G"
"9877009580","N/A","N/A","N/A","4550","2274","0","","G"
"9877009780","N/A","N/A","N/A","4550","2274","0","","G"
"9877010980","N/A","N/A","N/A","4550","2274","0","","G"
"9877155680","N/A","YAZAKI","N/A","0","1794","0","",""
"9877155880","N/A","LEONI","N/A","0","169","0","",""
"9877156080","N/A","YAZAKI","N/A","0","2420","0","",""
"9877156380","N/A","LEONI","N/A","0","1021","0","",""
"9877156580","N/A","LEONI","N/A","0","2420","0","",""
"9877156780","N/A","LEONI","N/A","0","879","0","",""
"9877156980","N/A","LEONI","N/A","0","2420","0","",""
"9877157180","N/A","LEONI","N/A","0","433","0","",""
"9877157280","N/A","LEONI","N/A","0","325","0","",""
"9877157380","N/A","YAZAKI","N/A","0","433","0","",""
"9877157480","N/A","YAZAKI","N/A","0","261","0","",""
"9877705680","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9877813880","N/A","Mind","N/A","490","365","0","","G"
"9877814080","N/A","Mind","N/A","640","365","0","","G"
"9877828680","N/A","N/A","N/A","5000","3512","0","","G"
"9877833580","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9877834480","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9877834980","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9877838280","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9877844280","N/A","N/A","N/A","0","2420","0","",""
"9877857580","N/A","Tyco Electronics France SAS / 
TE Connectivity","N/A","0","1006","0","",""
"9877877980","N/A","Tyco Electronics France SAS / 
TE Connectivity","N/A","0","1189","0","",""
"9877945580","N/A","LEONI","N/A","0","2420","0","",""
"9877945680","N/A","YAZAKI","N/A","0","2420","0","",""
"9877945780","N/A","Mind","N/A","490","365","0","","G"
"9877946780","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","0","2295","0","",""
"9877956780","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9877978180","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9878023080","N/A","Bevone","N/A","0","964","0","",""
"9878187180","N/A","Mind","N/A","490","477","0","","G"
"9878257980","N/A","LEONI","N/A","0","285","0","",""
"9878258180","N/A","LEONI","N/A","0","141","0","",""
"9878259080","N/A","YAZAKI","N/A","0","95","0","",""
"9878317280","N/A","N/A","N/A","5000","3512","0","","G"
"9878317380","N/A","N/A","N/A","5000","3512","0","","G"
"9878522780","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9878554380","N/A","WUHAN HUA ZI DONGJIANG AUTO PARTS C","N/A","2295","2295","0","","G"
"9879814080","N/A","Tyco Electronics France SAS / 
TE Connectivity","N/A","0","325","0","",""
"9879814180","N/A","Tyco Electronics France SAS / 
TE Connectivity","N/A","0","285","0","",""
"A00768901","N/A","KESENS POWER TECHNOLOGY (JIAXING) C","N/A","7910","0","0","",""
"N1","N/A","N/A","N/A","4300","4272.155069195905","0","","G"
"N1: 9876498380","N/A","N/A","N/A","4992","4243.602165783705","0","","G"
"N10","N/A","N/A","N/A","4300","4272.155069195905","0","","G"
"N2","N/A","N/A","N/A","4300","4272.155069195905","0","","G"
"N2: 9876498780","N/A","N/A","N/A","4992","4243.602165783705","0","","G"
